"QID","eidrparty"
"Q2828222","10.5237/C54C-EAC4"
"Q2850600","10.5237/4F99-671F"
"Q2861044","10.5237/3D43-5BFB"
"Q2864822","10.5237/B10D-DA0F"
"Q2864832","10.5237/14C3-C792"
"Q2869410","10.5237/590C-1016"
"Q2943613","10.5237/32E9-A610"
"Q2989909","10.5237/CAF9-6A14"
"Q3049217","10.5237/EB90-74DA"
"Q3071502","10.5237/AA86-74ED"
"Q3128481","10.5237/C1E0-86C6"
"Q3146538","10.5237/A2C4-5EF1"
"Q3211552","10.5237/54B3-D730"
"Q3230674","10.5237/1CD9-2BB9"
"Q3232636","10.5237/5AB5-D2B0"
"Q3232643","10.5237/75E5-A721"
"Q3232641","10.5237/1AE0-3FFD"
"Q3232649","10.5237/FCD6-22FC"
"Q3299128","10.5237/7A4E-9869"
"Q3701643","10.5237/5F09-C9F5"
"Q3703758","10.5237/B217-EF29"
"Q4926610","10.5237/0ED5-68F0"
"Q5058382","10.5237/D3FD-A262"
"Q5187036","10.5237/9ED5-9493"
"Q5398366","10.5237/2DC5-89BB"
"Q6112017","10.5237/4F14-E813"
"Q7424563","10.5237/C47B-D730"
"Q7461122","10.5237/A364-F60B"
"Q7641839","10.5237/D635-31AB"
"Q10498467","10.5237/29D4-6750"
"Q10498468","10.5237/C6B6-A28E"
"Q11854643","10.5237/0E0F-6AFF"
"Q11883266","10.5237/BBBE-3533"
"Q11896144","10.5237/5A3E-9329"
"Q12301653","10.5237/2EC2-94EB"
"Q12306712","10.5237/F8D6-56A5"
"Q12327304","10.5237/6904-92B1"
"Q16825684","10.5237/BFC8-C926"
"Q17149205","10.5237/C7B7-3D0A"
"Q17275620","10.5237/469D-24F8"
"Q17514657","10.5237/F77E-0400"
"Q18331625","10.5237/8C19-5A5A"
"Q18452123","10.5237/6689-1BD8"
"Q18682669","10.5237/09B5-3B15"
"Q18689250","10.5237/1BD9-1B84"
"Q30737775","10.5237/B29C-AC02"
"Q30740712","10.5237/076D-E0BD"
"Q31273179","10.5237/5A8E-01A8"
"Q39075149","10.5237/E858-640D"
"Q42286429","10.5237/5339-A764"
"Q47153394","10.5237/1284-565F"
"Q55407804","10.5237/91B6-5205"
"Q56474046","10.5237/EEC8-3A96"
"Q57541102","10.5237/A2E3-633E"
"Q58035287","10.5237/CFD8-6C19"
"Q64976162","10.5237/AEF1-512D"
"Q64976192","10.5237/7E55-C1A9"
"Q65092164","10.5237/836A-0ECD"
"Q65466263","10.5237/5666-E21B"
"Q65589420","10.5237/E694-0B52"
"Q23565","10.5237/5486-4FCC"
"Q41468","10.5237/A188-73E4"
"Q72387601","10.5237/FEE5-441E"
"Q78157176","10.5237/38BF-7C20"
"Q78159044","10.5237/B70A-1D79"
"Q78161176","10.5237/42BB-46E1"
"Q78161755","10.5237/7390-BC76"
"Q78343557","10.5237/9FC1-076A"
"Q78623465","10.5237/37AE-18E4"
"Q78625928","10.5237/B926-2EF0"
"Q78626362","10.5237/20F8-FA1C"
"Q78627586","10.5237/5BD1-1AFD"
"Q78791889","10.5237/7A82-A30F"
"Q78988961","10.5237/1879-E9AF"
"Q78989274","10.5237/8B4D-5CCE"
"Q79395269","10.5237/4E86-E021"
"Q80177057","10.5237/D095-6C99"
"Q80455410","10.5237/94D2-45E1"
"Q80455720","10.5237/4AFC-2D92"
"Q88960837","10.5237/15A6-90C3"
"Q88973069","10.5237/8FA6-0785"
"Q89045213","10.5237/0EC1-D269"
"Q89875207","10.5237/F32E-9CD7"
"Q89912101","10.5237/9C65-EEDE"
"Q92780895","10.5237/AF58-D7D8"
"Q97986881","10.5237/1E08-E0C8"
"Q98215587","10.5237/CD76-9B7C"
"Q100707106","10.5237/FE4A-160D"
"Q101188881","10.5237/A552-77D0"
"Q101208785","10.5237/439D-A2A6"
"Q105756535","10.5237/6C82-8A4B"
"Q106641397","10.5237/45A6-C39A"
"Q107575831","10.5237/0E36-50F9"
"Q107637159","10.5237/C97B-7C52"
"Q108124392","10.5237/BE8C-9FC9"
"Q108162913","10.5237/1036-3E96"
"Q108256132","10.5237/5EDE-BBF7"
"Q108267989","10.5237/C0C4-AD47"
"Q108286656","10.5237/FF0B-4790"
"Q110899427","10.5237/0CEF-4C54"
"Q110905007","10.5237/C30F-1DA2"
"Q112166726","10.5237/C527-2E5A"
"Q112221845","10.5237/8C20-1BD3"
"Q112627218","10.5237/8417-2288"
"Q112627334","10.5237/521D-F42C"
"Q112769437","10.5237/7A12-DAF9"
"Q113576659","10.5237/26E2-3A59"
"Q121294679","10.5237/4131-0483"
"Q121301245","10.5237/C2D7-4B48"
"Q121792856","10.5237/3064-8710"
"Q122542295","10.5237/956C-908E"
"Q158948","10.5237/7AB1-F7BA"
"Q362280","10.5237/F943-518D"
"Q564960","10.5237/519D-CADF"
"Q609069","10.5237/DE3E-9B63"
"Q1235358","10.5237/4381-DC2A"
"Q1254356","10.5237/AF92-65B4"
"Q1314010","10.5237/EF35-9DE7"
"Q1386879","10.5237/42FA-581F"
"Q1643954","10.5237/E00F-B95D"
"Q1674641","10.5237/1934-48EF"
"Q1979907","10.5237/C285-F0B8"
"Q2014391","10.5237/688B-0E12"
"Q2111697","10.5237/DBE6-4E6A"
"Q2155901","10.5237/7FF9-D50A"
"Q2392262","10.5237/C238-743D"
"Q2450848","10.5237/169E-ED30"
"Q3362049","10.5237/2B94-8605"
"Q3413369","10.5237/FD2E-2AF7"
"Q3425474","10.5237/B4FE-46B4"
"Q3555701","10.5237/4C70-78E6"
"Q3567885","10.5237/1C98-9F6C"
"Q3568109","10.5237/32DD-8C32"
"Q7832202","10.5237/837E-49EF"
"Q9372058","10.5237/B00F-93D6"
"Q11337482","10.5237/968F-E721"
"Q15154276","10.5237/8F5F-BA1E"
"Q15242318","10.5237/08A7-BE65"
"Q17377985","10.5237/E4DD-21EB"
"Q19799592","10.5237/F33A-4428"
"Q21964532","10.5237/EEBF-5E22"
"Q23196833","10.5237/C231-2845"
"Q27962009","10.5237/D33C-5C68"
"Q29029066","10.5237/3617-AD1E"
"Q29035480","10.5237/4F4F-E135"
"Q29390930","10.5237/A805-78CD"
"Q30737762","10.5237/B959-4B45"
"Q33108601","10.5237/BBA0-F576"
"Q47088763","10.5237/D2F5-C817"
"Q55705977","10.5237/4340-3EC8"
"Q56085408","10.5237/323A-29DE"
"Q56148954","10.5237/62DC-3E0A"
"Q60752075","10.5237/ECD1-EC60"
"Q64975503","10.5237/CF2B-8A59"
"Q65064081","10.5237/DC4D-2624"
"Q72550738","10.5237/7CA8-589B"
"Q77978088","10.5237/FB61-E642"
"Q79395789","10.5237/3BFC-5977"
"Q80547643","10.5237/0D12-19A6"
"Q94485319","10.5237/A3B0-DFD4"
"Q94526523","10.5237/DE0D-A5D2"
"Q99539464","10.5237/8CF0-EDA6"
"Q100430828","10.5237/58E6-A97B"
"Q100600669","10.5237/5B3E-0187"
"Q101231650","10.5237/3751-9711"
"Q101234816","10.5237/4D6A-2963"
"Q104777270","10.5237/2CDE-6C40"
"Q104818569","10.5237/837C-A578"
"Q104820520","10.5237/EBC6-15D0"
"Q107168451","10.5237/65B8-FB84"
"Q107637155","10.5237/956C-F0CE"
"Q107640447","10.5237/FD2A-BE16"
"Q107646317","10.5237/41C6-D9FF"
"Q107809261","10.5237/4575-AF35"
"Q107827720","10.5237/8DE1-B643"
"Q108108307","10.5237/F954-C5C9"
"Q108183168","10.5237/084B-4F15"
"Q108256029","10.5237/1EAD-443A"
"Q108257665","10.5237/2214-675C"
"Q110906115","10.5237/F1C0-F177"
"Q111345091","10.5237/D237-C44C"
"Q112221779","10.5237/98E2-AF3C"
"Q112265416","10.5237/3584-C692"
"Q113946194","10.5237/F371-17CE"
"Q114810722","10.5237/4F88-F03F"
"Q121126572","10.5237/DF4E-A21A"
"Q122842182","10.5237/40E8-CDDD"
"Q123084927","10.5237/9B20-1DC1"
"Q75533","10.5237/F993-7988"
"Q201487","10.5237/9715-5470"
"Q439623","10.5237/4C50-2B30"
"Q541569","10.5237/A945-0142"
"Q595808","10.5237/888A-7619"
"Q844822","10.5237/45AE-D124"
"Q1051884","10.5237/9389-FBF9"
"Q1054807","10.5237/DD19-97EB"
"Q1161600","10.5237/244C-A5B0"
"Q1172062","10.5237/3A05-12C0"
"Q1536079","10.5237/1BF2-1048"
"Q1696916","10.5237/17AE-E1EB"
"Q1936629","10.5237/E42A-3476"
"Q2376192","10.5237/235A-6BE3"
"Q2716300","10.5237/D6FD-C7C6"
"Q2850090","10.5237/A209-5523"
"Q3304113","10.5237/1480-275C"
"Q3349547","10.5237/6532-569F"
"Q3547550","10.5237/8E05-4E25"
"Q3621755","10.5237/7503-086A"
"Q3657087","10.5237/E624-5C71"
"Q3739211","10.5237/9261-0F6D"
"Q3838997","10.5237/53EA-B0F2"
"Q3929496","10.5237/E27F-8959"
"Q3960839","10.5237/113F-2C58"
"Q3980959","10.5237/22F6-3F5B"
"Q4038735","10.5237/AA74-C486"
"Q4930294","10.5237/5B56-ACB9"
"Q5071736","10.5237/7891-2351"
"Q5401916","10.5237/07A9-BD57"
"Q6393277","10.5237/2DA7-86A7"
"Q6583383","10.5237/24FB-9AA1"
"Q7197915","10.5237/E388-E10D"
"Q7568115","10.5237/1F03-CE62"
"Q7847492","10.5237/48A3-ABA5"
"Q9143596","10.5237/0D0E-C52D"
"Q11190583","10.5237/9949-0584"
