"QID","value","article"
"Q153717","GQ27-FTG","https://en.wikipedia.org/wiki/Freeman_Dyson"
"Q154423","GSJ4-WQT","https://en.wikipedia.org/wiki/Maud_of_Wales"
"Q154594","LRX8-VQP","https://en.wikipedia.org/wiki/Lucian_Freud"
"Q155649","LYVV-SDL","https://en.wikipedia.org/wiki/Richard_Holbrooke"
"Q155794","LH26-78G","https://en.wikipedia.org/wiki/Hans_Bethe"
"Q155822","L7LL-LWL","https://en.wikipedia.org/wiki/Sophia_of_Prussia"
"Q155855","9QG8-JCP","https://en.wikipedia.org/wiki/Karel_%C4%8Capek"
"Q156058","LB7G-8XY","https://en.wikipedia.org/wiki/George_F._Kennan"
"Q156321","LYFQ-PQY","https://en.wikipedia.org/wiki/Jan_Neruda"
"Q160627","KZ2D-5Y1","https://en.wikipedia.org/wiki/Alfred_Russel_Wallace"
"Q161154","LBZW-SXN","https://en.wikipedia.org/wiki/Lola_Montez"
"Q166159","GQHF-HQ5","https://en.wikipedia.org/wiki/Terry_Jones"
"Q166714","9V4K-J7N","https://en.wikipedia.org/wiki/H._H._Asquith"
"Q167821","L662-GWH","https://en.wikipedia.org/wiki/Gore_Vidal"
"Q168616","LWJ5-JWD","https://en.wikipedia.org/wiki/Jotham_Post_Jr."
"Q169902","K2XK-8PR","https://en.wikipedia.org/wiki/Prince_Aimone,_Duke_of_Aosta"
"Q170899","LZZ1-336","https://en.wikipedia.org/wiki/N%C3%A9stor_Kirchner"
"Q174547","LT5Y-BX8","https://en.wikipedia.org/wiki/Al_Jarreau"
"Q177769","K2X7-54V","https://en.wikipedia.org/wiki/Princess_Feodora_of_Saxe-Meiningen"
"Q179493","LZTJ-9NJ","https://en.wikipedia.org/wiki/Bertil_Ohlin"
"Q180338","MM3B-ZZ4","https://en.wikipedia.org/wiki/Christopher_Lee"
"Q180560","LFGY-G6F","https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman"
"Q182031","LV9Y-VFV","https://en.wikipedia.org/wiki/Jack_Kilby"
"Q182035","M687-HLB","https://en.wikipedia.org/wiki/Rab_Butler"
"Q182543","LC17-QWH","https://en.wikipedia.org/wiki/William_Samuel_Johnson"
"Q183092","L2P1-FX4","https://en.wikipedia.org/wiki/Merle_Haggard"
"Q183469","L5Z5-759","https://en.wikipedia.org/wiki/Juanita_M._Kreps"
"Q185025","KVGZ-N7Z","https://en.wikipedia.org/wiki/Rainier_III,_Prince_of_Monaco"
"Q185165","L1QG-TH6","https://en.wikipedia.org/wiki/Olivia_Newton-John"
"Q188205","LXMN-391","https://en.wikipedia.org/wiki/George_Armstrong_Custer"
"Q188999","KHCJ-QFJ","https://en.wikipedia.org/wiki/Austen_Chamberlain"
"Q192592","LBZP-HRD","https://en.wikipedia.org/wiki/Kenneth_Arrow"
"Q199644","KLFW-KYT","https://en.wikipedia.org/wiki/Adolfo_Caminha"
"Q201034","L4BH-3GB","https://en.wikipedia.org/wiki/Lana_Turner"
"Q201470","GSBJ-5L5","https://en.wikipedia.org/wiki/Richard_E._Taylor"
"Q202148","L1G2-CGF","https://en.wikipedia.org/wiki/Burt_Reynolds"
"Q202276","L4YQ-N8W","https://en.wikipedia.org/wiki/Benjamin_Robbins_Curtis"
"Q206191","MVPS-Q4H","https://en.wikipedia.org/wiki/Abigail_Adams"
"Q208869","LT68-6ZK","https://en.wikipedia.org/wiki/Frank_McCourt"
"Q210069","GSWG-F62","https://en.wikipedia.org/wiki/Milton_Obote"
"Q211731","9JHF-5BM","https://en.wikipedia.org/wiki/Timothy_Leary"
"Q214660","L5N9-34N","https://en.wikipedia.org/wiki/John_Fowles"
"Q219982","GSBS-93R","https://en.wikipedia.org/wiki/Joseph_Rotblat"
"Q220883","LBC2-HC4","https://en.wikipedia.org/wiki/Poul_Anderson"
"Q223183","L63P-SDJ","https://en.wikipedia.org/wiki/Peter_II_of_Yugoslavia"
"Q228801","GM69-4B5","https://en.wikipedia.org/wiki/Colleen_McCullough"
"Q229226","M24F-QR3","https://en.wikipedia.org/wiki/Elizabeth_Gaskell"
"Q230143","LC2W-4XY","https://en.wikipedia.org/wiki/Margaret_Rutherford"
"Q230491","KPH7-5SP","https://en.wikipedia.org/wiki/Mary_Anning"
"Q232917","KLG8-F1X","https://en.wikipedia.org/wiki/Majel_Barrett"
"Q233686","L85X-1WM","https://en.wikipedia.org/wiki/Mamie_Eisenhower"
"Q233843","LHR3-GFH","https://en.wikipedia.org/wiki/Elizabeth_Montgomery"
"Q234610","GFHS-28J","https://en.wikipedia.org/wiki/Anne_Heche"
"Q235354","G4FL-RVV","https://en.wikipedia.org/wiki/Mary_Renault"
"Q235464","KCQM-XX5","https://en.wikipedia.org/wiki/Elizabeth_Garrett_Anderson"
"Q235983","G3M1-LW7","https://en.wikipedia.org/wiki/Henry_Taube"
"Q236421","G932-4WH","https://en.wikipedia.org/wiki/Janet_Reno"
"Q236438","KHXW-JSX","https://en.wikipedia.org/wiki/C%C3%A9cile_Chaminade"
"Q236501","LZP9-XSV","https://en.wikipedia.org/wiki/Princess_Pauline_of_W%C3%BCrttemberg_(1810%E2%80%931856)"
"Q237829","KHQ7-HMZ","https://en.wikipedia.org/wiki/Edward_Smith-Stanley,_14th_Earl_of_Derby"
"Q238111","L1GK-1XP","https://en.wikipedia.org/wiki/Susan_Atkins"
"Q238111","L41J-NGB","https://en.wikipedia.org/wiki/Susan_Atkins"
"Q238820","L44Q-CTD","https://en.wikipedia.org/wiki/Cecilia_Bowes-Lyon,_Countess_of_Strathmore_and_Kinghorne"
"Q239251","LC8Z-T3C","https://en.wikipedia.org/wiki/Mary_Ann_Nichols"
"Q239293","GSY7-W47","https://en.wikipedia.org/wiki/Valerie_Harper"
"Q240782","G9VW-Y87","https://en.wikipedia.org/wiki/Harriet_Taylor_Mill"
"Q241081","9KD9-6FQ","https://en.wikipedia.org/wiki/Dorothy_Stratten"
"Q241200","GM3Z-2FR","https://en.wikipedia.org/wiki/Franti%C5%A1ek_Anton%C3%ADn_M%C3%AD%C4%8Da"
"Q241299","K4GW-XTD","https://en.wikipedia.org/wiki/Julia_Ward_Howe"
"Q242338","GQBG-W3Y","https://en.wikipedia.org/wiki/Princess_Katherine_of_Greece_and_Denmark"
"Q243705","2W3B-YL7","https://en.wikipedia.org/wiki/Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury"
"Q244390","242T-YZG","https://en.wikipedia.org/wiki/Ken_Kesey"
"Q254352","MSQ8-F8J","https://en.wikipedia.org/wiki/Harriet_Quimby"
"Q255815","KNDS-54B","https://en.wikipedia.org/wiki/Tallulah_Bankhead"
"Q259176","LCJT-XLC","https://en.wikipedia.org/wiki/Carin_G%C3%B6ring"
"Q259537","MT9L-1QX","https://en.wikipedia.org/wiki/Ed_Wynn"
"Q260575","LKY3-4QP","https://en.wikipedia.org/wiki/Alice_Bailey"
"Q264418","GQGY-2GG","https://en.wikipedia.org/wiki/Russi_Taylor"
"Q265603","G3P9-7B1","https://en.wikipedia.org/wiki/Eva_Ibbotson"
"Q267217","L7PV-WTM","https://en.wikipedia.org/wiki/Viveca_Lindfors"
"Q267622","L7NH-55L","https://en.wikipedia.org/wiki/Taylor_Mitchell"
"Q269585","L5RQ-BP3","https://en.wikipedia.org/wiki/Gregory_La_Cava"
"Q269812","LRJ8-PYN","https://en.wikipedia.org/wiki/Christina_Nilsson"
"Q271023","LZKX-GNM","https://en.wikipedia.org/wiki/Charles_Curtis"
"Q271517","K6MP-FM7","https://en.wikipedia.org/wiki/Nicholas_Murray_Butler"
"Q272194","L61Y-599","https://en.wikipedia.org/wiki/Ted_Hughes"
"Q272537","KH8V-V8S","https://en.wikipedia.org/wiki/Felicia_Hemans"
"Q272706","M8ZX-R5W","https://en.wikipedia.org/wiki/Georgette_Heyer"
"Q273215","LVPS-N6Q","https://en.wikipedia.org/wiki/Rod_Steiger"
"Q274815","G3XT-K7L","https://en.wikipedia.org/wiki/Barbara_Krafft"
"Q275987","L61J-P4K","https://en.wikipedia.org/wiki/Clara_Petacci"
"Q276181","LBXV-C9S","https://en.wikipedia.org/wiki/Jim_Varney"
"Q280455","K64X-GKY","https://en.wikipedia.org/wiki/Faye_Emerson"
"Q282823","KCK6-GC6","https://en.wikipedia.org/wiki/Tivadar_Pusk%C3%A1s"
"Q295141","961N-4JV","https://en.wikipedia.org/wiki/Chaim_Herzog"
"Q295318","LRYC-G34","https://en.wikipedia.org/wiki/Anton_Cermak"
"Q296661","GQMR-RWN","https://en.wikipedia.org/wiki/Cyrus_Vance"
"Q297804","GQ96-9VF","https://en.wikipedia.org/wiki/Liliane_Bettencourt"
"Q305776","GQRN-655","https://en.wikipedia.org/wiki/Abba_Eban"
"Q309885","LZDC-F5X","https://en.wikipedia.org/wiki/Frederick_Chapman_Robbins"
"Q310052","9V4Z-RL9","https://en.wikipedia.org/wiki/Joe_Strummer"
"Q311442","LZN9-NLZ","https://en.wikipedia.org/wiki/Louis_Ferdinand,_Prince_of_Prussia"
"Q311655","LTCM-BWN","https://en.wikipedia.org/wiki/Tom_Petty"
"Q312252","LX3J-M1L","https://en.wikipedia.org/wiki/Andy_Griffith"
"Q312657","9J3K-VRW","https://en.wikipedia.org/wiki/Chuck_Jones"
"Q313976","L4J2-FGX","https://en.wikipedia.org/wiki/P._G._T._Beauregard"
"Q315087","L56X-Y2D","https://en.wikipedia.org/wiki/Garry_Marshall"
"Q315129","K8C1-D53","https://en.wikipedia.org/wiki/Oswald_Avery"
"Q315205","MCQ2-VWC","https://en.wikipedia.org/wiki/Robert_Garrett"
"Q317160","K8HG-PWB","https://en.wikipedia.org/wiki/Thomas_De_Quincey"
"Q318198","LZXV-QGL","https://en.wikipedia.org/wiki/Bo_Carpelan"
"Q319342","K2SR-R3F","https://en.wikipedia.org/wiki/Art_Buchwald"
"Q321072","KN8K-QVY","https://en.wikipedia.org/wiki/John_George_Nicolay"
"Q322750","G33L-RNP","https://en.wikipedia.org/wiki/Aron_Eisenberg"
"Q326723","LYD5-2RC","https://en.wikipedia.org/wiki/Leon_Ames"
"Q327006","KCSD-QK8","https://en.wikipedia.org/wiki/Samuel_Seabury"
"Q327908","L5Y3-NB2","https://en.wikipedia.org/wiki/Donald_Griffin"
"Q332612","9KGQ-2T4","https://en.wikipedia.org/wiki/Mark_Sykes"
"Q335059","96CP-Y9R","https://en.wikipedia.org/wiki/John_French,_1st_Earl_of_Ypres"
"Q336421","277Q-Z36","https://en.wikipedia.org/wiki/Robert_Crewe-Milnes,_1st_Marquess_of_Crewe"
"Q339375","L5BN-QD2","https://en.wikipedia.org/wiki/Lionel_Penrose"
"Q339842","GSGG-G8H","https://en.wikipedia.org/wiki/Reginald_Punnett"
"Q351156","LTCZ-KY2","https://en.wikipedia.org/wiki/Adam_West"
"Q358647","M4QC-YKK","https://en.wikipedia.org/wiki/George_H._Steuart_(brigadier_general)"
"Q359463","LT58-3B2","https://en.wikipedia.org/wiki/David_Manners"
"Q359653","9JW9-QTR","https://en.wikipedia.org/wiki/Tommy_Douglas"
"Q363055","GMNN-82K","https://en.wikipedia.org/wiki/Arlen_Specter"
"Q364835","L6Q3-8F8","https://en.wikipedia.org/wiki/Tristram_Cary"
"Q366765","LZK2-P38","https://en.wikipedia.org/wiki/Esaias_Tegn%C3%A9r"
"Q372073","L5XF-72X","https://en.wikipedia.org/wiki/Jackie_Cooper"
"Q379631","KG43-MFQ","https://en.wikipedia.org/wiki/Jos%C3%A9_Bonif%C3%A1cio_de_Andrada_e_Silva"
"Q380719","L5B3-3VQ","https://en.wikipedia.org/wiki/Cotton_Mather"
"Q432717","GSQJ-HYJ","https://en.wikipedia.org/wiki/Charlotte_Despard"
"Q433051","LK6S-RFP","https://en.wikipedia.org/wiki/Salmon_P._Chase"
"Q434358","LCWN-BZC","https://en.wikipedia.org/wiki/Lady_Augusta_Murray"
"Q434453","LZJN-XCZ","https://en.wikipedia.org/wiki/Inger_Stevens"
"Q442136","LZVF-12J","https://en.wikipedia.org/wiki/F._Augustus_Heinze"
"Q442231","MYGQ-N19","https://en.wikipedia.org/wiki/Marie_Stopes"
"Q444189","G3HP-K34","https://en.wikipedia.org/wiki/Charles_III,_Duke_of_Savoy"
"Q445956","GMRD-T7D","https://en.wikipedia.org/wiki/Angelica_Garnett"
"Q449758","LYZG-51S","https://en.wikipedia.org/wiki/May_Morris"
"Q450551","GSH7-41V","https://en.wikipedia.org/wiki/Fanny_Cornforth"
"Q454464","L4M2-H5R","https://en.wikipedia.org/wiki/William_C._deMille"
"Q454944","9VGL-DKS","https://en.wikipedia.org/wiki/Katherine_DeMille"
"Q457657","L2PF-FQ6","https://en.wikipedia.org/wiki/Elyse_Knox"
"Q457856","9JQL-T8V","https://en.wikipedia.org/wiki/Jessica_Mitford"
"Q459663","KGCV-K6X","https://en.wikipedia.org/wiki/Anna_Maria_Lenngren"
"Q462366","961K-D26","https://en.wikipedia.org/wiki/Charles_Edwin_Wilbour"
"Q464038","KZN8-4CM","https://en.wikipedia.org/wiki/Clyde_H._Smith"
"Q466009","LK2K-8YK","https://en.wikipedia.org/wiki/Charles_Carroll_of_Carrollton"
"Q466386","KT4Z-83J","https://en.wikipedia.org/wiki/Mary_Travers"
"Q469371","LRW1-Q1L","https://en.wikipedia.org/wiki/Henry_Heimlich"
"Q470282","LCNN-YGN","https://en.wikipedia.org/wiki/Stephen_J._Cannell"
"Q472946","LKDX-LYJ","https://en.wikipedia.org/wiki/William_Cornelius_Van_Horne"
"Q483148","LTD9-QPS","https://en.wikipedia.org/wiki/Michael_Clarke_Duncan"
"Q495306","LDYJ-JBP","https://en.wikipedia.org/wiki/Pernell_Roberts"
"Q498897","LCZM-FSL","https://en.wikipedia.org/wiki/John_Dankworth"
"Q503027","LTLC-H7X","https://en.wikipedia.org/wiki/Powers_Boothe"
"Q513298","MP84-JDB","https://en.wikipedia.org/wiki/Robert_Caesar_Childers"
"Q526181","LKB1-S88","https://en.wikipedia.org/wiki/David_Rayfiel"
"Q531718","LJK1-M93","https://en.wikipedia.org/wiki/Efrem_Zimbalist_Jr."
"Q532620","9JWL-2YN","https://en.wikipedia.org/wiki/Nathan_L._Miller"
"Q532915","GQZL-MW6","https://en.wikipedia.org/wiki/Noel_Harrison"
"Q542629","G3YR-DXW","https://en.wikipedia.org/wiki/Edna_May"
"Q546008","LY3Q-GBD","https://en.wikipedia.org/wiki/Sydney_Chaplin_(American_actor)"
"Q552874","LZXX-ZLT","https://en.wikipedia.org/wiki/Trevor_Bailey"
"Q554560","L2HN-H8J","https://en.wikipedia.org/wiki/Ren%C3%A9_Ang%C3%A9lil"
"Q561666","LJGX-HR8","https://en.wikipedia.org/wiki/William_Windom_(actor)"
"Q566457","KZ3R-SW7","https://en.wikipedia.org/wiki/Hans_Sitt"
"Q575668","KGBK-ZRK","https://en.wikipedia.org/wiki/Lionel_Atwill"
"Q576453","MWRB-R1Z","https://en.wikipedia.org/wiki/Charles_Clark_(governor)"
"Q593395","L6MH-QN9","https://en.wikipedia.org/wiki/Iver_Lawson_(cyclist)"
"Q595359","M13S-6PW","https://en.wikipedia.org/wiki/Albert_Chevallier_Tayler"
"Q597362","K8R5-FFW","https://en.wikipedia.org/wiki/Albert_Wolff_(conductor)"
"Q623595","L19D-M9Y","https://en.wikipedia.org/wiki/Ara_Parseghian"
"Q636688","LDS3-YT9","https://en.wikipedia.org/wiki/Anita_Garibaldi"
"Q637377","MBKC-YBW","https://en.wikipedia.org/wiki/John_Brown_(servant)"
"Q646371","MSPH-RHR","https://en.wikipedia.org/wiki/Spenser_St._John"
"Q647979","LTD9-366","https://en.wikipedia.org/wiki/Carter_Braxton"
"Q660917","KCJQ-L4S","https://en.wikipedia.org/wiki/Walter_Crane"
"Q675875","K4B8-CPD","https://en.wikipedia.org/wiki/Alex_J._Groesbeck"
"Q676226","KLJK-BM8","https://en.wikipedia.org/wiki/Lawrence_Welk"
"Q681117","G7Y5-5BM","https://en.wikipedia.org/wiki/Michel_No%C3%ABl"
"Q692927","KL2W-TWY","https://en.wikipedia.org/wiki/Mareen_Duvall"
"Q703963","LTD9-SGC","https://en.wikipedia.org/wiki/Sterling_Lyon"
"Q704473","LHKM-MX4","https://en.wikipedia.org/wiki/Jack_Lord"
"Q704868","L78R-TXC","https://en.wikipedia.org/wiki/George_Inness"
"Q705748","G9Y3-F2L","https://en.wikipedia.org/wiki/Cuba_Gooding_Sr."
"Q706204","MRSJ-2PP","https://en.wikipedia.org/wiki/Caleb_Bradham"
"Q709595","LCR7-YF4","https://en.wikipedia.org/wiki/Jay_Gould"
"Q709961","LZKV-1KD","https://en.wikipedia.org/wiki/Arthur_I._Boreman"
"Q710439","M3NJ-6GX","https://en.wikipedia.org/wiki/Bertram_Ramsay"
"Q712601","G4J5-L6S","https://en.wikipedia.org/wiki/Franti%C5%A1ek_Adam_M%C3%AD%C4%8Da"
"Q714960","LVKS-LRR","https://en.wikipedia.org/wiki/Gouverneur_Morris"
"Q718349","K8X3-XSC","https://en.wikipedia.org/wiki/Charles_Boucher_de_Boucherville"
"Q721943","KP4P-V4G","https://en.wikipedia.org/wiki/Eddy_Arnold"
"Q723149","LZ4G-SPH","https://en.wikipedia.org/wiki/Samuel_Hubbard_Scudder"
"Q723547","2N6Z-P92","https://en.wikipedia.org/wiki/William_Chester_Minor"
"Q724624","LCDZ-JQY","https://en.wikipedia.org/wiki/Frank_Wigglesworth_Clarke"
"Q727175","LC81-RTG","https://en.wikipedia.org/wiki/John_Dill"
"Q733780","KDWX-JRX","https://en.wikipedia.org/wiki/Henry_Salt_(Egyptologist)"
"Q737068","L7L1-ZK9","https://en.wikipedia.org/wiki/Richard_F._Outcault"
"Q773813","MHFH-NC7","https://en.wikipedia.org/wiki/Eugenio_Aguilar"
"Q781134","L4QW-D38","https://en.wikipedia.org/wiki/Thomas_Cushing"
"Q798315","9W1X-G1Y","https://en.wikipedia.org/wiki/Thomas_Lini%C3%A8re_Taschereau"
"Q864992","G9D3-Q4J","https://en.wikipedia.org/wiki/Birch_Bayh"
"Q867275","GQLT-Z22","https://en.wikipedia.org/wiki/John_B._Johnston"
"Q869909","LKZD-MWX","https://en.wikipedia.org/wiki/Prince_Heinrich_of_Hesse-Kassel"
"Q879287","LYKN-RH3","https://en.wikipedia.org/wiki/William_Donald_Schaefer"
"Q881135","LZGT-1BJ","https://en.wikipedia.org/wiki/Julius_Sterling_Morton"
"Q888518","MT9Y-VPR","https://en.wikipedia.org/wiki/Bobby_Doerr"
"Q902703","KZ1D-8XS","https://en.wikipedia.org/wiki/David_Rittenhouse"
"Q919518","K2V2-JWT","https://en.wikipedia.org/wiki/Raymond_D._Little"
"Q924790","MPJ8-HRQ","https://en.wikipedia.org/wiki/Herbert_Putnam"
"Q934413","M3FY-MCY","https://en.wikipedia.org/wiki/Peter_Warlock"
"Q959249","KW8X-H89","https://en.wikipedia.org/wiki/Reed_Smoot"
"Q959520","GQGG-MJL","https://en.wikipedia.org/wiki/Henri_Richard"
"Q960792","GQK4-2HV","https://en.wikipedia.org/wiki/Joseph_A._LeFante"
"Q966067","GWC7-Z62","https://en.wikipedia.org/wiki/Ji%C5%99%C3%AD_Mahen"
"Q979347","LR13-FLZ","https://en.wikipedia.org/wiki/Tiny_Tim_(musician)"
"Q982831","KJW1-FXX","https://en.wikipedia.org/wiki/Henry_J._Heinz"
"Q983356","L4SP-Y2T","https://en.wikipedia.org/wiki/Charles_MacArthur"
"Q984116","LHZ9-SVY","https://en.wikipedia.org/wiki/James_Lanman"
"Q993277","GWTM-8J7","https://en.wikipedia.org/wiki/Bruno_Gerussi"
"Q1039367","LYH5-X6D","https://en.wikipedia.org/wiki/Carl_Laemmle_Jr."
"Q1064378","LC2X-6PD","https://en.wikipedia.org/wiki/Charles_Floyd_(explorer)"
"Q1081523","LRFD-68F","https://en.wikipedia.org/wiki/Lee_Radziwill"
"Q1101261","K4K4-CDD","https://en.wikipedia.org/wiki/Clifford_Gray_(athlete)"
"Q1144884","L6XD-KSJ","https://en.wikipedia.org/wiki/Adam_Lanza"
"Q1173832","G9L1-C7Q","https://en.wikipedia.org/wiki/David_Brion_Davis"
"Q1175849","KZX1-WJV",NA
"Q1281080","LTMC-S7T","https://en.wikipedia.org/wiki/Erin_Moran"
"Q1292615","MPNP-ND3","https://en.wikipedia.org/wiki/Edward_J._Flynn"
"Q1304952","G9BL-8YC","https://en.wikipedia.org/wiki/Tim_Conway"
"Q1311606","GS6T-DJS","https://en.wikipedia.org/wiki/Marmaduke_Williams"
"Q1322184","K29D-447",NA
"Q1332543","LWXS-4TQ","https://en.wikipedia.org/wiki/Jay_Gould_II"
"Q1333939","GQQH-JVY","https://en.wikipedia.org/wiki/Joe_South"
"Q1336298","GSSK-JBB","https://en.wikipedia.org/wiki/Francis_Thomas_Bacon"
"Q1346521","K2TW-VFC","https://en.wikipedia.org/wiki/William_Edward_Ayrton"
"Q1352525","LQRS-7LK","https://en.wikipedia.org/wiki/Herbert_Beerbohm_Tree"
"Q1353934","KZCN-28B","https://en.wikipedia.org/wiki/Yung_Wing"
"Q1354159","GQMN-6ZK","https://en.wikipedia.org/wiki/Johnny_Bower"
"Q1359806","GWYQ-8K1",NA
"Q1360799","L4B2-1HT","https://en.wikipedia.org/wiki/James_Parker_(New_Jersey_politician)"
"Q1365780","LYWW-CGV","https://en.wikipedia.org/wiki/Robert_Bork"
"Q1369254","MT84-Y61","https://en.wikipedia.org/wiki/Albertson_Van_Zo_Post"
"Q1370968","G36S-QXR","https://en.wikipedia.org/wiki/John_Conyers"
"Q1376646","G3JD-VQJ","https://en.wikipedia.org/wiki/Jakub_Schikaneder"
"Q1389678","M97S-DQP","https://en.wikipedia.org/wiki/William_Radcliffe_Birt"
"Q1391199","L6TY-PL5","https://en.wikipedia.org/wiki/William_Muir"
"Q1392676","GQZF-4W8","https://en.wikipedia.org/wiki/Ivan_Albright"
"Q1395756","G9QM-WTG",NA
"Q1396131","LC3Z-CRX","https://en.wikipedia.org/wiki/Wilbur_Wright"
"Q1412648","GHC9-CCR","https://en.wikipedia.org/wiki/Franti%C5%A1ek_Filipovsk%C3%BD"
"Q1508002","KLZY-1DH","https://en.wikipedia.org/wiki/George_Petrie_(actor)"
"Q1589275","LTDP-G7T","https://en.wikipedia.org/wiki/Monty_Berman"
"Q1589304","G4MS-95D","https://en.wikipedia.org/wiki/Lawrence_Marston"
"Q1611548","G7S9-SM3",NA
"Q1612486","M68G-51L","https://en.wikipedia.org/wiki/Hermann_Ritter"
"Q1635178","9Z31-H98",NA
"Q1673265","LCDW-C5P","https://en.wikipedia.org/wiki/Irv_Robbins"
"Q1673374","LHTN-T2C","https://en.wikipedia.org/wiki/Isaac_Coles"
"Q1676256","LD63-3PK","https://en.wikipedia.org/wiki/J._A._O._Preus"
"Q1681128","K8GH-9LD",NA
"Q1699640","MBQR-TCG","https://en.wikipedia.org/wiki/John_Collier_(sociologist)"
"Q1701058","LZDG-5GB","https://en.wikipedia.org/wiki/John_M._Thurston"
"Q1701232","K8MV-8N4","https://en.wikipedia.org/wiki/John_Willys"
"Q1701261","K8T8-C33","https://en.wikipedia.org/wiki/John_Ordway"
"Q1702113","LH72-2GP","https://en.wikipedia.org/wiki/John_Watts_(New_York_politician)"
"Q1712371","LBPY-WYD",NA
"Q1738596","LB4D-2VB","https://en.wikipedia.org/wiki/Ken_Dodd"
"Q1757492","GQBQ-8Y2","https://en.wikipedia.org/wiki/Ted_Risenhoover"
"Q1763476","GXDZ-P58","https://en.wikipedia.org/wiki/Francis_Festing"
"Q1802820","KV73-RQY","https://en.wikipedia.org/wiki/Ralph_Maxwell_Lewis"
"Q1807081","KZGZ-4KZ","https://en.wikipedia.org/wiki/Harriet_Bosse"
"Q1809834","G9JW-ZVT","https://en.wikipedia.org/wiki/Thomas_S._Savage"
"Q1822173","LZ87-5KW","https://en.wikipedia.org/wiki/Lewis_Williams_(politician)"
"Q1872037","LTYG-7CS","https://en.wikipedia.org/wiki/Louis_Waldman"
"Q1922184","L2VP-DKQ","https://en.wikipedia.org/wiki/Mervyn_Johns"
"Q1971705","LKP9-39V","https://en.wikipedia.org/wiki/Norman_Z._McLeod"
"Q1995506","GQVS-2V3","https://en.wikipedia.org/wiki/Zoe_Caldwell"
"Q2014562","MN4N-NJQ","https://en.wikipedia.org/wiki/Christian_Cornelius_Paus"
"Q2045555","G3ND-32H","https://en.wikipedia.org/wiki/Lawrence_Hogan"
"Q2054275","MTKX-ZQV","https://en.wikipedia.org/wiki/George_Gebhardt"
"Q2062794","LT2X-N3F","https://en.wikipedia.org/wiki/Paul_Tirard"
"Q2069921","LZDL-W9R","https://en.wikipedia.org/wiki/John_Quincy_Adams_Ward"
"Q2070754","K23T-7N1","https://en.wikipedia.org/wiki/Perham_Wilhelm_Nahl"
"Q2077718","LCQH-PWT","https://en.wikipedia.org/wiki/Peter_Ramsbotham"
"Q2150950","M531-7ZD",NA
"Q2205526","LKCL-5B5","https://en.wikipedia.org/wiki/Jessica_Dragonette"
"Q2210593","K2QG-SYV","https://en.wikipedia.org/wiki/Maude_Fealy"
"Q2277844","LRHF-B81","https://en.wikipedia.org/wiki/Shelby_Grant"
"Q2331144","KHN1-KZ8","https://en.wikipedia.org/wiki/Hall_Caine"
"Q2351927","MLR3-9HF","https://en.wikipedia.org/wiki/Mamah_Borthwick"
"Q2373732","LC88-T33","https://en.wikipedia.org/wiki/Sydney_Parham_Epes"
"Q2413649","2CMM-37L","https://en.wikipedia.org/wiki/John_List_(murderer)"
"Q2419093","LZJH-NKW","https://en.wikipedia.org/wiki/Robert_B._Sherman"
"Q2424076","L3XJ-54L","https://en.wikipedia.org/wiki/Thomas_G._Alvord"
"Q2437944","99NJ-4LL","https://en.wikipedia.org/wiki/Tobias_Norris"
"Q2451348","L1QG-7HX","https://en.wikipedia.org/wiki/Pat_Conroy"
"Q2469000","LHXX-MZM","https://en.wikipedia.org/wiki/Elliot_Handler"
"Q2530379","KHPW-5FM","https://en.wikipedia.org/wiki/Henry_Bacon"
"Q2544573","L4H6-K3W","https://en.wikipedia.org/wiki/Dallas_McKennon"
"Q2560676","G91B-N1D",NA
"Q2577705","LZ6Y-8RJ","https://en.wikipedia.org/wiki/William_A._Knowlton"
"Q2578117","GQP5-8NQ",NA
"Q2609059","2781-GMH","https://en.wikipedia.org/wiki/Jo%C3%A3o_da_Cruz_e_Sousa"
"Q2616501","LHWF-PM6","https://en.wikipedia.org/wiki/James_Bateman_(horticulturist)"
"Q2645894","LVV8-K4G","https://en.wikipedia.org/wiki/Alfred_Scott-Gatty"
"Q2662683","LKF6-X29","https://en.wikipedia.org/wiki/William_Asher"
"Q2688686","KDQQ-JVW","https://en.wikipedia.org/wiki/James_B._Spencer"
"Q2688833","M5H5-S9R","https://en.wikipedia.org/wiki/Henry_Bell_Van_Rensselaer"
"Q2706401","LBYZ-VFK","https://en.wikipedia.org/wiki/Abraham_Langlet"
"Q2725351","L5LS-YSD","https://en.wikipedia.org/wiki/Denis_Compton"
"Q2756371","MZSP-V8H","https://en.wikipedia.org/wiki/Rochelle_Hudson"
"Q2853437","G6JR-BK3","https://en.wikipedia.org/wiki/Antoine-Alexis_Perier_de_Salvert"
"Q2856311","LCQ7-ZVY","https://en.wikipedia.org/wiki/Madelyn_Dunham"
"Q2906950","G8RM-9XT","https://en.wikipedia.org/wiki/Paul_Reichmann"
"Q2908486","9VV3-215","https://en.wikipedia.org/wiki/Agnes_Stevenson"
"Q2978740","LQ8K-KWM","https://en.wikipedia.org/wiki/Clayton_Moore"
"Q2990289","LWXT-6FX","https://en.wikipedia.org/wiki/Temple_Chevallier"
"Q3006661","9C73-74Z","https://en.wikipedia.org/wiki/Robert_Reid,_1st_Earl_Loreburn"
