"QID","value","article"
"Q42985","97KK-LQR","https://en.wikipedia.org/wiki/Ivan_Pavlov"
"Q42985","KZ6W-KF4","https://en.wikipedia.org/wiki/Ivan_Pavlov"
"Q44032","LZK4-DL9","https://en.wikipedia.org/wiki/Egon_Schiele"
"Q44407","27SH-WRG","https://en.wikipedia.org/wiki/Ronald_Golias"
"Q44653","LY83-LQZ","https://en.wikipedia.org/wiki/Malcolm_Young"
"Q45765","LZNP-89Q","https://en.wikipedia.org/wiki/Jack_London"
"Q46479","M12D-491","https://en.wikipedia.org/wiki/Zarah_Leander"
"Q49356","K4N7-DL6","https://en.wikipedia.org/wiki/Ira_Remsen"
"Q51490","LH11-78J","https://en.wikipedia.org/wiki/George_Stevens"
"Q55415","GW19-JS9","https://en.wikipedia.org/wiki/Leni_Riefenstahl"
"Q56093","LHC4-ZCP","https://en.wikipedia.org/wiki/Blake_Edwards"
"Q57249","LZ5L-B1L","https://en.wikipedia.org/wiki/Ferdinand_Porsche"
"Q58586","L1W5-KBT","https://en.wikipedia.org/wiki/Edmund_Husserl"
"Q58670","LY89-SM4","https://en.wikipedia.org/wiki/Princess_Charlotte_of_Prussia"
"Q59630","G38J-7YM","https://en.wikipedia.org/wiki/Roddy_Piper"
"Q60029","LCC1-1DM","https://en.wikipedia.org/wiki/Oskar_Schindler"
"Q60371","KFBM-3S8","https://en.wikipedia.org/wiki/Prince_Joachim_of_Prussia"
"Q60547","GSKW-XCT","https://en.wikipedia.org/wiki/Warren_Rudman"
"Q61351","LZ6M-3X4","https://en.wikipedia.org/wiki/Frederica_of_Hanover"
"Q61898","2X2J-PKJ","https://en.wikipedia.org/wiki/Bettie_Page"
"Q63014","G3ZP-5C7","https://en.wikipedia.org/wiki/Princess_Marie-Auguste_of_Anhalt"
"Q63189","LTZF-ZZR","https://en.wikipedia.org/wiki/Dana_Wynter"
"Q63575","L6GX-427",NA
"Q65016","LHPC-HCW","https://en.wikipedia.org/wiki/Princess_Emma_of_Anhalt-Bernburg-Schaumburg-Hoym"
"Q132105","GSLS-GSB","https://en.wikipedia.org/wiki/Frances_Yates"
"Q133054","MRVS-3BH","https://en.wikipedia.org/wiki/Sylvia_Plath"
"Q134549","LZNR-GY3","https://en.wikipedia.org/wiki/Ted_Kennedy"
"Q137634","LCFJ-P34","https://en.wikipedia.org/wiki/Jackie_Burroughs"
"Q139655","GZ43-G83","https://en.wikipedia.org/wiki/James_E._Davis_(New_York_politician)"
"Q144090","KH47-BRQ","https://en.wikipedia.org/wiki/E._E._Smith"
"Q153637","LWMC-RMY","https://en.wikipedia.org/wiki/Dieterich_Buxtehude"
"Q154545","L6VJ-6RB","https://en.wikipedia.org/wiki/L%C3%A9opold_S%C3%A9dar_Senghor"
"Q154824","KT3J-NVT","https://en.wikipedia.org/wiki/Norman_Borlaug"
"Q155525","LCRW-KVD","https://en.wikipedia.org/wiki/C%C3%A9sar_Milstein"
"Q155781","G3ZC-6K1","https://en.wikipedia.org/wiki/Louis_N%C3%A9el"
"Q155907","KLF8-Y6T","https://en.wikipedia.org/wiki/Sir_George_Stokes,_1st_Baronet"
"Q156567","LNRV-W1Y","https://en.wikipedia.org/wiki/Henri_Cartier-Bresson"
"Q157255","GSBJ-G23","https://en.wikipedia.org/wiki/Merton_Miller"
"Q158486","L1Z6-HLN","https://en.wikipedia.org/wiki/Gene_Cernan"
"Q160001","L7GH-MQM","https://en.wikipedia.org/wiki/Victoria_Eugenie_of_Battenberg"
"Q161247","LCJL-DZC","https://en.wikipedia.org/wiki/Augusta_Victoria_of_Schleswig-Holstein"
"Q161841","KG33-96T","https://en.wikipedia.org/wiki/Edward_Gibbon"
"Q162389","LCFL-6FY","https://en.wikipedia.org/wiki/Tony_Curtis"
"Q168542","GD8Y-STV","https://en.wikipedia.org/wiki/Adalbert_Stifter"
"Q168728","LHSW-XQP","https://en.wikipedia.org/wiki/Robert_Frost"
"Q169066","GXQ8-MJY","https://en.wikipedia.org/wiki/Zden%C4%9Bk_S%C3%BDkora"
"Q177984","LH9F-987","https://en.wikipedia.org/wiki/Peter_Sellers"
"Q182580","L66C-WGD","https://en.wikipedia.org/wiki/Shirley_Temple"
"Q183397","L71D-VWF","https://en.wikipedia.org/wiki/Fred_Hoyle"
"Q183528","LTKN-LKD","https://en.wikipedia.org/wiki/Philip_Johnson"
"Q186549","GHC6-9H7","https://en.wikipedia.org/wiki/Alexandrine_of_Prussia,_Grand_Duchess_of_Mecklenburg-Schwerin"
"Q189407","L5VX-QMX","https://en.wikipedia.org/wiki/Gloria_Stuart"
"Q189841","LZZF-K2B","https://en.wikipedia.org/wiki/Randal_Cremer"
"Q192245","L7GY-8LD","https://en.wikipedia.org/wiki/Susan_B._Anthony"
"Q192474","GV9H-5FN","https://en.wikipedia.org/wiki/Jeff_Beck"
"Q192712","G39X-84D","https://en.wikipedia.org/wiki/Kai_Siegbahn"
"Q192778","LJ96-8R2","https://en.wikipedia.org/wiki/Rafic_Hariri"
"Q193656","L4R1-3FS","https://en.wikipedia.org/wiki/Henry_John_Temple,_3rd_Viscount_Palmerston"
"Q201433","LBLY-3PC","https://en.wikipedia.org/wiki/Dorothy_Hewett"
"Q202365","MX7X-76R","https://en.wikipedia.org/wiki/Thomas_C._Kinkaid"
"Q202729","GN2W-9FG","https://en.wikipedia.org/wiki/Jerry_Lee_Lewis"
"Q204101","GSS3-8T3","https://en.wikipedia.org/wiki/Marie_Wagner"
"Q209586","LY71-177","https://en.wikipedia.org/wiki/Fats_Domino"
"Q212545","LTR4-6V5","https://en.wikipedia.org/wiki/Natasha_Richardson"
"Q212957","LDKH-KPG","https://en.wikipedia.org/wiki/Celeste_Holm"
"Q213393","K6QN-P8Q","https://en.wikipedia.org/wiki/John_Wesley"
"Q213690","LTS2-8G9","https://en.wikipedia.org/wiki/Gitta_Sereny"
"Q214565","LKCJ-BTK","https://en.wikipedia.org/wiki/Beatrix_Potter"
"Q214852","LTVK-MVS","https://en.wikipedia.org/wiki/Friedrich_M%C3%BCnch"
"Q215850","MTCC-3CZ","https://en.wikipedia.org/wiki/Henry_E._Steinway"
"Q216135","LT3H-D7F","https://en.wikipedia.org/wiki/Hans_Habe"
"Q217434","KF5D-3GL","https://en.wikipedia.org/wiki/Grant_Wood"
"Q219731","29H3-K7Z","https://en.wikipedia.org/wiki/George_Canning"
"Q225509","LZJ6-VMF","https://en.wikipedia.org/wiki/Susannah_York"
"Q230238","2H27-S9R","https://en.wikipedia.org/wiki/Astrid_of_Sweden"
"Q230662","LXH5-2M9","https://en.wikipedia.org/wiki/Anita_Ekberg"
"Q232959","L5VP-GG8","https://en.wikipedia.org/wiki/Doris_Roberts"
"Q234185","LW9M-KLR","https://en.wikipedia.org/wiki/Alice_Liddell"
"Q234893","GWYQ-Z11","https://en.wikipedia.org/wiki/Milena_Jesensk%C3%A1"
"Q236978","LD5H-H5M","https://en.wikipedia.org/wiki/Wilhelmine_of_Prussia,_Queen_of_the_Netherlands"
"Q237196","LK32-BJ3","https://en.wikipedia.org/wiki/H._Rider_Haggard"
"Q237324","GHVD-2NR","https://en.wikipedia.org/wiki/Lisa_Marie_Presley"
"Q240442","G7BC-KFH","https://en.wikipedia.org/wiki/Aspasia_Manos"
"Q250754","LZSS-JBW","https://en.wikipedia.org/wiki/%C3%81lvares_de_Azevedo"
"Q252126","GQZ3-7C2","https://en.wikipedia.org/wiki/Louie_Bellson"
"Q253192","LVLW-YL6","https://en.wikipedia.org/wiki/Cynthia_Lennon"
"Q254376","M4F2-8PJ","https://en.wikipedia.org/wiki/Bessie_Coleman"
"Q254659","LVMC-HLV","https://en.wikipedia.org/wiki/Unity_Mitford"
"Q254983","LHWS-TCZ","https://en.wikipedia.org/wiki/William_Safire"
"Q259185","L7F6-NMM","https://en.wikipedia.org/wiki/Peg_Entwistle"
"Q263648","LZF1-JBP","https://en.wikipedia.org/wiki/Joan_Aiken"
"Q266416","KLVX-MPP","https://en.wikipedia.org/wiki/Betsy_Blair"
"Q266808","993K-8JS","https://en.wikipedia.org/wiki/Gilda_Radner"
"Q268732","L5FX-DWX","https://en.wikipedia.org/wiki/Arthur_Erickson"
"Q269890","LRYQ-HRJ","https://en.wikipedia.org/wiki/Don_Rickles"
"Q270468","G3LZ-CVM","https://en.wikipedia.org/wiki/Elin_W%C3%A4gner"
"Q270617","GMSK-5W5","https://en.wikipedia.org/wiki/Juliette_Adam"
"Q272510","KV2D-5P4","https://en.wikipedia.org/wiki/John_Harsanyi"
"Q272857","LT5P-PVH","https://en.wikipedia.org/wiki/Rita_Gam"
"Q275793","L85D-H6F","https://en.wikipedia.org/wiki/Nancy_Cunard"
"Q278825","LCVG-GMN","https://en.wikipedia.org/wiki/Charles_Spurgeon"
"Q283342","LKDD-KSZ","https://en.wikipedia.org/wiki/Anita_Page"
"Q290343","LCJH-36W","https://en.wikipedia.org/wiki/David_Starr_Jordan"
"Q294927","LTGR-P8D","https://en.wikipedia.org/wiki/Jerry_Lewis"
"Q296630","94XQ-SBG","https://en.wikipedia.org/wiki/Jason_Robards"
"Q299302","LZDB-BSH","https://en.wikipedia.org/wiki/Michael_Gough"
"Q310775","LT6C-2RN","https://en.wikipedia.org/wiki/Jean-Claude_Duvalier"
"Q310924","LBTY-6Y4","https://en.wikipedia.org/wiki/Alan_Bean"
"Q311145","KGMZ-5QS","https://en.wikipedia.org/wiki/Machado_de_Assis"
"Q312069","LQ5H-X8M","https://en.wikipedia.org/wiki/Henry_Fairfield_Osborn"
"Q312591","K63V-MSN","https://en.wikipedia.org/wiki/F._J._Robinson,_1st_Viscount_Goderich"
"Q313697","GS63-R2C","https://en.wikipedia.org/wiki/Ross_Perot"
"Q316802","G3S1-WPB","https://en.wikipedia.org/wiki/James_Clavell"
"Q317248","LZ81-4P8","https://en.wikipedia.org/wiki/Sargent_Shriver"
"Q317574","MV3Z-PNC","https://en.wikipedia.org/wiki/Mack_Sennett"
"Q318750","G358-SXN","https://en.wikipedia.org/wiki/Stephen_Hillenburg"
"Q322001","MMRC-Q4W","https://en.wikipedia.org/wiki/William_Wollaston"
"Q324742","LZDZ-1WR","https://en.wikipedia.org/wiki/Prescott_Bush"
"Q329784","G7VD-6JB","https://en.wikipedia.org/wiki/Charles_Durning"
"Q332475","LHQ1-7KN","https://en.wikipedia.org/wiki/Walter_Guinness,_1st_Baron_Moyne"
"Q333004","KZJ9-LHG","https://en.wikipedia.org/wiki/John_Buchan"
"Q333297","LW3Q-M2S","https://en.wikipedia.org/wiki/Frans_Michael_Franz%C3%A9n"
"Q333368","K4YL-RX4","https://en.wikipedia.org/wiki/Charles_Vane-Tempest-Stewart,_7th_Marquess_of_Londonderry"
"Q333426","LCXM-KQK","https://en.wikipedia.org/wiki/Edward_Wood,_1st_Earl_of_Halifax"
"Q333824","K48L-59M","https://en.wikipedia.org/wiki/William_Sidney,_1st_Viscount_De_L%27Isle"
"Q334282","LR24-YZV","https://en.wikipedia.org/wiki/Peter_Thorneycroft"
"Q334984","MVH7-2QX","https://en.wikipedia.org/wiki/John_Vereker,_6th_Viscount_Gort"
"Q335152","LVJF-HPT","https://en.wikipedia.org/wiki/Arne_N%C3%A6ss"
"Q335159","L44Q-C53","https://en.wikipedia.org/wiki/Claude_Bowes-Lyon,_14th_Earl_of_Strathmore_and_Kinghorne"
"Q336036","M1YS-96M","https://en.wikipedia.org/wiki/Rufus_Isaacs,_1st_Marquess_of_Reading"
"Q336227","27VP-P7F","https://en.wikipedia.org/wiki/Charles_Cathcart,_2nd_Earl_Cathcart"
"Q336609","LZV2-BM1","https://en.wikipedia.org/wiki/George_Lascelles,_7th_Earl_of_Harewood"
"Q337386","L62T-14J","https://en.wikipedia.org/wiki/Henry_Petty-Fitzmaurice,_5th_Marquess_of_Lansdowne"
"Q354540","LCFW-XDF","https://en.wikipedia.org/wiki/Peter_Jennings"
"Q355125","LCBH-V5Z","https://en.wikipedia.org/wiki/Harry_Morgan"
"Q356769","LH6Y-ZWP","https://en.wikipedia.org/wiki/Clopton_Havers"
"Q358519","LBN5-QVJ","https://en.wikipedia.org/wiki/Gordie_Howe"
"Q361238","GW7Q-84L","https://en.wikipedia.org/wiki/Robert_Loggia"
"Q361617","LZLZ-R77","https://en.wikipedia.org/wiki/E._B._White"
"Q362402","G7DK-W3T","https://en.wikipedia.org/wiki/Adolf_Hoffmeister"
"Q364556","9K67-H77","https://en.wikipedia.org/wiki/Johnston_Forbes-Robertson"
"Q365010","LZXM-ZDD","https://en.wikipedia.org/wiki/Simon_Pollard_Hughes_Jr."
"Q365672","G37Y-DDR","https://en.wikipedia.org/wiki/Edmund_Morgan_(historian)"
"Q367073","LK5G-3M8","https://en.wikipedia.org/wiki/Donald_Crisp"
"Q373128","G72J-TML","https://en.wikipedia.org/wiki/Bill_Walsh_(producer)"
"Q373895","GHDN-BGS","https://en.wikipedia.org/wiki/Betty_White"
"Q380148","KN6R-QV4","https://en.wikipedia.org/wiki/Motilal_Nehru"
"Q386572","99V5-1HD","https://en.wikipedia.org/wiki/Ralph_Bagnold"
"Q390569","LHL3-CNC","https://en.wikipedia.org/wiki/John_Stewart-Murray,_7th_Duke_of_Atholl"
"Q390775","LHL3-435","https://en.wikipedia.org/wiki/George_Murray,_6th_Duke_of_Atholl"
"Q399235","LC89-RZN","https://en.wikipedia.org/wiki/Patsy_Mink"
"Q430443","LHZW-BSV","https://en.wikipedia.org/wiki/Fernando_Wood"
"Q431614","MPWS-3LK","https://en.wikipedia.org/wiki/Catherine_Booth"
"Q433129","LKGH-4N5","https://en.wikipedia.org/wiki/Joan_Mondale"
"Q434610","K87W-TBL","https://en.wikipedia.org/wiki/Henry_Cowell"
"Q436309","KPD2-LTG","https://en.wikipedia.org/wiki/Daniel_Haines"
"Q439535","LYQQ-7L4","https://en.wikipedia.org/wiki/Al_Bernard"
"Q449085","KFTV-655","https://en.wikipedia.org/wiki/Dodie_Smith"
"Q449769","GZPP-B15","https://en.wikipedia.org/wiki/Jan_Sokol_(philosopher)"
"Q451245","LZZ5-V5S","https://en.wikipedia.org/wiki/Jill_Haworth"
"Q451879","KH78-565","https://en.wikipedia.org/wiki/Madge_Kennedy"
"Q452354","L51Q-JCN","https://en.wikipedia.org/wiki/Gertrude_Jekyll"
"Q452605","G4YH-YMJ","https://en.wikipedia.org/wiki/Rafer_Johnson"
"Q452749","LR3T-LX8","https://en.wikipedia.org/wiki/Florence_Henderson"
"Q453665","LBJY-Y5B","https://en.wikipedia.org/wiki/Nella_Larsen"
"Q456131","9SS9-1L5","https://en.wikipedia.org/wiki/Gilmore_David_Clarke"
"Q456711","MQBN-H57","https://en.wikipedia.org/wiki/Larry_Adler"
"Q456966","L1L9-LVD","https://en.wikipedia.org/wiki/Francesco_Quinn"
"Q457306","LY81-T3D","https://en.wikipedia.org/wiki/David_Cassidy"
"Q458565","LZG6-BBS",NA
"Q462368","LBNY-D51","https://en.wikipedia.org/wiki/Heather_Menzies"
"Q464313","LCTJ-V2B","https://en.wikipedia.org/wiki/George_Stephen_Morrison"
"Q465580","KWVM-M24","https://en.wikipedia.org/wiki/Newel_K._Whitney"
"Q465637","LTNS-41F","https://en.wikipedia.org/wiki/Liz_Claiborne"
"Q506878","LZM6-5SK","https://en.wikipedia.org/wiki/Emmett_Till"
"Q507012","L6PZ-XMN","https://en.wikipedia.org/wiki/Andrew_Ryan_(diplomat)"
"Q508752","LXMH-9YM","https://en.wikipedia.org/wiki/Frank_Lautenberg"
"Q509891","MF8J-TMP","https://en.wikipedia.org/wiki/Harry_R._Truman"
"Q517904","KH9V-J79","https://en.wikipedia.org/wiki/Arthur_Currie"
"Q519374","LYYX-2L2","https://en.wikipedia.org/wiki/Estelle_Reiner"
"Q526876","2ZSS-R7T","https://en.wikipedia.org/wiki/Rhena_Schweitzer_Miller"
"Q527890","L294-CPS","https://en.wikipedia.org/wiki/Cheryl_Holdridge"
"Q529696","LF6S-RC3","https://en.wikipedia.org/wiki/Horton_Foote"
"Q530820","LZ2G-GGD","https://en.wikipedia.org/wiki/Vinnie_Ream"
"Q533403","LW1Y-H11",NA
"Q535637","GDWB-KCY","https://en.wikipedia.org/wiki/Kenji_Utsumi"
"Q537087","G4Z7-4DP","https://en.wikipedia.org/wiki/Isabella_Valancy_Crawford"
"Q542297","LTNT-VQ9","https://en.wikipedia.org/wiki/Blaze_Starr"
"Q552191","LH4D-TQD","https://en.wikipedia.org/wiki/Dudley_Pound"
"Q554620","GHDZ-2VW","https://en.wikipedia.org/wiki/Benjamin_de_Rothschild"
"Q558416","GS8F-RSJ","https://en.wikipedia.org/wiki/Tim_LaHaye"
"Q560461","L4PY-NTW","https://en.wikipedia.org/wiki/Jersey_Joe_Walcott"
"Q561782","K819-9B4","https://en.wikipedia.org/wiki/Lascelles_Abercrombie"
"Q562540","MYGS-JGH","https://en.wikipedia.org/wiki/Augustus_John"
"Q562908","LRJL-BXP","https://en.wikipedia.org/wiki/Emilio_Q._Daddario"
"Q577169","M7V4-NW2","https://en.wikipedia.org/wiki/Albert_Ball"
"Q577687","ML4Y-F9Q","https://en.wikipedia.org/wiki/Reginald_Owen"
"Q578031","LTB5-WBF","https://en.wikipedia.org/wiki/Jerry_Pournelle"
"Q590227","LBQL-FWS","https://en.wikipedia.org/wiki/Edward_VIII"
"Q593286","2WM1-PHR","https://en.wikipedia.org/wiki/John_Agar"
"Q597433","G9WM-SXR","https://en.wikipedia.org/wiki/Peter_Tork"
"Q600393","G9S5-8CC","https://en.wikipedia.org/wiki/John_Dingell"
"Q631416","KNFL-B4P","https://en.wikipedia.org/wiki/H._H._Kung"
"Q657376","LKC6-6NZ","https://en.wikipedia.org/wiki/Bernard_Ashmole"
"Q703369","LTH7-6QN","https://en.wikipedia.org/wiki/Walter_Sickert"
"Q705738","L4YM-8CX","https://en.wikipedia.org/wiki/Chuck_Connors"
"Q708947","9QFY-QXR",NA
"Q714574","KL7H-1ZZ","https://en.wikipedia.org/wiki/Titta_Ruffo"
"Q715919","MYXV-JB9","https://en.wikipedia.org/wiki/John_Holland,_1st_Duke_of_Exeter"
"Q717656","LHV1-82P","https://en.wikipedia.org/wiki/Harvey_Korman"
"Q735342","LC3N-Z24","https://en.wikipedia.org/wiki/Richard_J._Oglesby"
"Q735824","GSBH-LPV","https://en.wikipedia.org/wiki/Johnny_Douglas"
"Q765794","KH3J-HNQ","https://en.wikipedia.org/wiki/Augusta_Stowe-Gullen"
"Q817516","K8DD-RW7","https://en.wikipedia.org/wiki/Benjamin_Goodhue"
"Q845755","L11N-79N","https://en.wikipedia.org/wiki/Sir_Henry_Thompson,_1st_Baronet"
"Q870607","KP7W-K1C","https://en.wikipedia.org/wiki/William_Backhouse_Astor_Sr."
"Q878798","LRW2-F9N","https://en.wikipedia.org/wiki/Hugh_Carey"
"Q881335","KWCT-8S3","https://en.wikipedia.org/wiki/Evan_Mecham"
"Q881412","LCVM-FRK","https://en.wikipedia.org/wiki/Blanche_Bruce"
"Q881873","LZ29-44P","https://en.wikipedia.org/wiki/Ned_McWherter"
"Q882131","K42Q-PS3","https://en.wikipedia.org/wiki/Francis_T._Nicholls"
"Q885839","K4YX-LC6","https://en.wikipedia.org/wiki/William_Pope_Duval"
"Q886094","MT7L-MKF","https://en.wikipedia.org/wiki/Chester_Harding_(governor)"
"Q921204","LY9X-J62","https://en.wikipedia.org/wiki/Walter_Becker"
"Q927631","G4FX-ZDQ","https://en.wikipedia.org/wiki/Jerry_Van_Dyke"
"Q929579","GMHR-2LB","https://en.wikipedia.org/wiki/Erik_Nielsen"
"Q929985","GQ8Q-H9P","https://en.wikipedia.org/wiki/Alex_Trebek"
"Q930953","2QB5-4B7","https://en.wikipedia.org/wiki/Arthur_Kinnaird,_11th_Lord_Kinnaird"
"Q938844","MZPP-P3C","https://en.wikipedia.org/wiki/William_Lindsay_Gresham"
"Q940445","K485-N9B","https://en.wikipedia.org/wiki/Alfred_Munnings"
"Q946912","LC2W-7F7","https://en.wikipedia.org/wiki/Joseph_E._Davies"
"Q947083","KWC8-VG3","https://en.wikipedia.org/wiki/George_Q._Cannon"
"Q951224","MR11-RND","https://en.wikipedia.org/wiki/Howard_Hickman"
"Q953004","LNXX-7MG","https://en.wikipedia.org/wiki/Eleanor_Coerr"
"Q953696","K67P-1DS","https://en.wikipedia.org/wiki/Ken_Anderson_(animator)"
"Q955051","GH3J-LWP","https://en.wikipedia.org/wiki/Frank_Beresford"
"Q956868","LC61-9V7","https://en.wikipedia.org/wiki/William_Beebe"
"Q960737","LC3C-8BR","https://en.wikipedia.org/wiki/William_B._Bankhead"
"Q964833","L46N-R41","https://en.wikipedia.org/wiki/A._V._Alexander,_1st_Earl_Alexander_of_Hillsborough"
"Q971219","KCQ5-S9V","https://en.wikipedia.org/wiki/Charles_Lederer"
"Q973292","LVNC-1XT","https://en.wikipedia.org/wiki/Henry_Morgan_(humorist)"
"Q976773","GSSJ-XF4","https://en.wikipedia.org/wiki/Humberto_Sousa_Medeiros"
"Q980778","K8NB-NF2","https://en.wikipedia.org/wiki/Samuel_Klingenstierna"
"Q1027747","MC6P-4DP","https://en.wikipedia.org/wiki/Calvin_Willey"
"Q1064790","GQ3H-F9T","https://en.wikipedia.org/wiki/Charles_Hefferon"
"Q1074680","K2MC-BH9","https://en.wikipedia.org/wiki/Korn%C3%A9l_%C3%81br%C3%A1nyi"
"Q1157865","L2F3-LKZ","https://en.wikipedia.org/wiki/Dale_Robertson"
